PM,Birthplace
"Matrika Prasad Koirala","India"
"Tanka Prasad Acharya","NA"
"Kunwar Indrajit Singh","Doti"
"Subarna Shamsher Rana","Kathmandu"
"B. P. Koirala","India"
"Tulsi Giri","Siraha"
"Surya Bahadur Thapa","Dhankuta"
"Kirti Nidhi Bista","Kathmandu"
"Gehendra Bahadur Rajbhandari","NA"
"Nagendra Prasad Rijal","Dhankuta"
"Lokendra Bahadur Chand","Baitadi"
"Marich Man Singh Shrestha","Salyan"
"Krishna Prasad Bhattarai","India"
"Girija Prasad Koirala","India"
"Man Mohan Adhikari","Kathmandu"
"Sher Bahadur Deuba","Dadeldhura"
"Pushpa Kamal Dahal","Kaski"
"Madhav Kumar Nepal","Rautahat"
"Jhala Nath Khanal","Ilam"
"Baburam Bhattarai","Gorkha"
"Khil Raj Regmi","Palpa"
"Sushil Koirala","Morang"
"K. P. Sharma Oli","Tehrathum"
"Sushila Karki","Morang"
"Balendra Shah","Kathmandu"


