Chunk_ID,Longitude,Latitude,Altitude_m,MC_Draws,Cluster_Size
1,85.17239739033964,27.37934634745816,17956.54684474813,5,44
2,84.97145291533965,27.4470840593524,21183.99981438349,5,37
3,85.04648015897463,27.377515294962574,17902.92369946157,5,47
4,85.10880300690968,27.373032643179364,17866.211648870936,5,49
5,85.00421761611759,27.405806329378187,19507.920779389955,5,61
6,84.93349816902955,27.49102200742675,23139.386521916123,5,47
7,85.0243536652814,27.439180601440285,20745.721207301733,5,44
8,85.00129560461228,27.384946957284743,18310.486074378725,5,59
9,85.12383805513066,27.325042413791028,15615.73566963264,5,42
10,84.95293759555507,27.387002190328424,18250.761434206022,5,69
11,84.9859107939013,27.491938812714615,23264.274973607553,5,55
12,85.04760663285772,27.395831142164905,18739.650190026474,5,72
13,84.92557767584954,27.458104250827617,21761.96814267885,5,43
14,85.00702708234698,27.45528544654118,21343.310489399817,5,59
15,85.14179244617371,27.398792766209112,18758.245634252562,5,46
16,85.08278785679776,27.394437730746706,18837.528976186262,5,49
17,85.13120488481914,27.376835897572192,18048.848122902105,5,55
18,85.04991973422491,27.40323738783563,19263.374127666804,5,47
19,84.9023065307956,27.49431803825614,23000.71491644445,5,56
20,84.95762519072926,27.513521764413998,24043.936305801453,5,49
21,84.97181845693027,27.42145643464656,19957.70433822854,5,47
22,84.98766516633235,27.478272150391746,22451.61226723074,5,59
23,85.12912466655901,27.36181420221296,17168.940898116805,5,52
24,85.07610073704234,27.3750236016839,17872.56517788666,5,56
25,85.11051386559625,27.33846874318499,16337.69070385642,5,50
26,84.948684566201,27.46545528501928,21738.491964566136,5,46
27,84.9763744008414,27.356344778107054,17040.044985949127,5,44
28,85.11064871703924,27.388418584794064,18310.39965039598,5,57
29,84.98083599415143,27.40979861269056,19494.761572453797,5,49
30,85.01360401134573,27.35548647836362,17183.494037064695,5,39
31,85.05677860958295,27.42363248099517,19805.946428594067,5,42
32,85.00013932985607,27.4343115660703,20572.13461384518,5,49
33,84.98890103170604,27.394629719680953,18674.572386160035,5,56
34,85.00737621213244,27.47457290792956,22189.166083328153,5,54
35,84.92560543439731,27.480657921379205,22702.49708802843,5,58
36,84.96913283638031,27.484002921178256,22773.717514782387,5,56
37,85.02432820019878,27.46144741539867,21494.099672063276,5,44
38,85.10106915422024,27.356980076673292,16894.53716648491,5,59
39,85.16711897942058,27.363998478658047,17355.15466100456,5,55
40,85.01478460312833,27.383813642073743,18398.598154267493,5,70
41,85.01348470648661,27.440739453112027,20690.307260415204,5,46
42,85.17274350264815,27.39816268622285,18799.89266346107,5,41
43,85.1554892944645,27.38106900765035,18204.850306893437,5,58
44,85.02328891525913,27.41059789860451,19612.0328587805,5,64
45,84.95869453869783,27.44789040560818,21144.425185736698,5,59
46,84.9089396156437,27.465178796222066,21999.506756440278,5,49
47,85.13108770200485,27.34798649798498,16620.141944575385,5,40
48,85.07531606766076,27.418419787473688,19644.191327830264,5,44
49,84.98195214483596,27.407478032992387,19382.585599252205,5,50
50,84.97530397870082,27.50707492625954,23703.717171021173,5,39
51,85.08552932074544,27.382858743935778,18222.404584906217,5,58
52,85.11111736871491,27.389464590475146,18718.965108138484,5,46
53,84.97924618365352,27.46509230806958,21808.582898116296,5,64
54,85.04723311797368,27.427445000297908,20342.61561102826,5,36
55,85.02304883991485,27.423259831633054,20292.457883633666,5,46
56,84.98614873680472,27.426070141579405,20057.000067173227,5,52
57,84.93577850828476,27.468523711016463,22201.212374265793,5,56
58,85.05929990900783,27.366295082514366,17547.799637820724,5,35
59,84.90353373154244,27.48081750629251,22626.281039320085,5,49
60,85.00275941574944,27.399091731776643,19054.05279460392,5,65
61,84.96572922250367,27.372887020284313,17785.00270222972,5,45
