District,Hindu,Buddhist,Islam,Kirat,Christian,Prakriti,Bon,Jain,Baha’i,Sikh,(Total)
Taplejung,30.45,21.97,0.09,44.22,2.6,0.01,0.66,0.0,0.0,0.0,120590
Sankhuwasabha,40.43,26.74,0.31,28.84,3.21,0.0,0.45,0.0,0.0,0.02,158041
Solukhumbu,37.74,28.31,0.01,30.8,3.13,0.01,0.0,0.0,0.0,0.0,104851
Okhaldhunga,64.95,20.01,0.0,13.46,1.52,0.03,0.03,0.0,0.0,0.0,139552
Khotang,52.2,8.34,0.01,36.2,3.07,0.17,0.0,0.0,0.0,0.0,175298
Bhojpur,46.39,16.04,0.02,36.29,1.21,0.04,0.0,0.0,0.0,0.0,157923
Dhankuta,49.56,13.11,0.1,34.74,2.47,0.01,0.0,0.0,0.0,0.0,150599
Terhathum,50.96,13.51,0.02,33.2,2.08,0.12,0.11,0.0,0.0,0.0,88731
Panchthar,29.21,12.26,0.1,55.71,2.72,0.01,0.0,0.0,0.0,0.0,172400
Ilam,44.19,15.96,0.08,36.2,3.51,0.03,0.02,0.0,0.0,0.0,279534
Jhapa,79.1,4.94,3.33,9.38,2.6,0.63,0.01,0.02,0.0,0.0,998054
Morang,81.47,4.06,4.94,6.64,1.97,0.8,0.02,0.06,0.01,0.0,1148156
Sunsari,74.35,3.64,12.34,7.72,1.69,0.22,0.02,0.02,0.0,0.0,926962
Udayapur,70.37,11.68,0.8,12.97,2.95,1.22,0.0,0.0,0.0,0.0,340721
Saptari,88.47,1.72,9.6,0.08,0.06,0.01,0.0,0.05,0.0,0.0,706255
Siraha,90.27,1.11,8.28,0.12,0.11,0.1,0.0,0.0,0.0,0.0,739953
Dhanusa,88.98,1.13,9.69,0.03,0.13,0.01,0.02,0.0,0.0,0.0,867747
Mahottari,82.68,1.55,15.55,0.03,0.16,0.03,0.0,0.0,0.0,0.0,706994
Sarlahi,85.69,4.99,8.89,0.06,0.32,0.04,0.0,0.0,0.0,0.0,862470
Rautahat,75.72,1.5,22.55,0.02,0.2,0.0,0.0,0.0,0.0,0.0,813573
Bara,80.9,4.06,14.71,0.04,0.28,0.01,0.0,0.0,0.0,0.0,763137
Parsa,80.84,1.21,17.8,0.01,0.12,0.0,0.0,0.0,0.0,0.01,654471
Dolakha,66.47,26.0,0.06,5.39,2.05,0.0,0.02,0.0,0.0,0.0,172767
Sindhupalchok,54.17,41.41,0.04,1.13,2.49,0.58,0.19,0.0,0.0,0.0,262624
Rasuwa,25.61,70.84,0.03,0.03,3.44,0.04,0.01,0.0,0.0,0.0,46689
Dhading,70.71,20.26,0.41,0.43,7.55,0.38,0.26,0.0,0.0,0.0,325710
Nuwakot,56.98,38.13,0.2,2.09,2.55,0.01,0.04,0.0,0.0,0.0,263391
Kathmandu,78.49,16.28,1.29,1.43,2.36,0.05,0.06,0.03,0.0,0.01,2041587
Bhaktapur,86.4,9.93,0.49,1.14,2.02,0.01,0.01,0.0,0.0,0.0,432132
Lalitpur,74.69,17.17,0.73,2.45,4.82,0.06,0.04,0.01,0.0,0.02,551667
Kavrepalanchok,63.31,33.89,0.19,0.16,2.11,0.35,0.0,0.0,0.0,0.0,364039
Ramechhap,70.66,23.87,0.03,3.15,2.08,0.17,0.04,0.0,0.0,0.0,170302
Sindhuli,68.24,26.92,0.1,2.21,1.84,0.67,0.01,0.0,0.0,0.0,300026
Makwanpur,48.73,43.9,0.7,0.33,6.12,0.17,0.06,0.0,0.0,0.0,466073
Chitawan,81.43,12.48,1.33,0.08,4.19,0.16,0.33,0.0,0.0,0.0,719859
Gorkha,69.95,15.98,1.35,0.51,6.0,0.47,5.73,0.0,0.0,0.0,251027
Manang,40.69,50.6,0.05,0.09,2.37,0.07,6.13,0.0,0.0,0.0,5658
Mustang,38.14,58.59,0.19,0.07,1.88,0.03,1.11,0.0,0.0,0.0,14452
Myagdi,87.55,8.2,0.22,0.02,1.52,2.12,0.37,0.0,0.0,0.0,107033
Kaski,81.11,12.44,1.04,0.21,2.34,0.28,2.56,0.01,0.0,0.01,600051
Lamjung,62.44,29.54,0.77,0.03,2.48,0.08,4.66,0.0,0.0,0.0,155852
Tanahu,84.08,9.73,1.56,0.05,2.3,0.46,1.82,0.0,0.0,0.0,321153
Nawalparasi_E,87.13,8.8,0.67,0.02,3.01,0.21,0.17,0.0,0.0,0.0,378079
Syangja,86.35,7.92,0.9,0.01,0.33,1.16,3.32,0.0,0.0,0.0,253024
Parbat,92.7,5.28,0.47,0.03,0.59,0.49,0.44,0.0,0.0,0.0,130887
Baglung,91.31,4.91,0.34,0.01,1.19,2.22,0.02,0.0,0.0,0.0,249211
Rukum_E,79.04,0.86,0.0,0.0,3.47,16.63,0.0,0.0,0.0,0.0,56786
Rolpa,87.48,1.76,0.12,0.0,2.39,8.21,0.03,0.0,0.0,0.0,234793
Pyuthan,96.47,1.24,0.34,0.0,0.25,1.61,0.09,0.0,0.0,0.0,232019
Gulmi,96.58,2.15,0.22,0.0,0.2,0.6,0.24,0.0,0.0,0.0,246494
Arghakhanchi,98.28,0.78,0.68,0.0,0.17,0.09,0.0,0.0,0.0,0.0,177086
Palpa,91.39,5.43,0.62,0.01,0.91,1.62,0.0,0.0,0.0,0.0,245027
Nawalparasi_W,87.59,3.61,7.24,0.03,1.12,0.01,0.39,0.0,0.0,0.0,386868
Rupandehi,87.02,3.77,8.09,0.02,0.69,0.17,0.22,0.0,0.0,0.0,1121957
Kapilbastu,80.71,0.74,18.21,0.0,0.23,0.09,0.0,0.0,0.0,0.01,682961
Dang,95.34,0.88,1.06,0.01,1.77,0.93,0.0,0.0,0.0,0.0,674993
Banke,78.9,0.67,18.66,0.02,1.61,0.01,0.01,0.0,0.0,0.12,603194
Bardiya,93.4,0.71,3.12,0.0,2.71,0.03,0.01,0.0,0.01,0.0,459900
Dolpa,70.63,27.77,0.07,0.01,0.45,0.0,1.06,0.0,0.0,0.0,42774
Mugu,91.77,7.43,0.02,0.0,0.77,0.0,0.0,0.0,0.0,0.0,64549
Humla,87.45,12.15,0.0,0.05,0.35,0.0,0.0,0.0,0.0,0.0,55394
Jumla,97.3,1.45,0.08,0.0,1.16,0.0,0.0,0.0,0.0,0.0,118349
Kalikot,99.79,0.07,0.01,0.0,0.13,0.0,0.0,0.0,0.0,0.0,145292
Dailekh,95.91,2.75,0.19,0.01,0.81,0.32,0.01,0.0,0.0,0.0,252313
Jajarkot,98.65,0.31,0.04,0.0,0.93,0.07,0.0,0.0,0.0,0.0,189360
Rukum_W,97.53,0.61,0.06,0.0,1.23,0.57,0.0,0.0,0.0,0.0,166740
Salyan,95.89,1.1,0.12,0.0,2.72,0.17,0.0,0.0,0.0,0.0,238515
Surkhet,91.6,4.07,0.6,0.0,3.54,0.17,0.02,0.0,0.0,0.0,415126
Bajura,98.72,1.14,0.09,0.0,0.05,0.0,0.0,0.0,0.0,0.0,138523
Bajhang,99.68,0.22,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,189085
Darchula,99.77,0.1,0.03,0.0,0.1,0.0,0.0,0.0,0.0,0.0,133310
Baitadi,99.96,0.01,0.01,0.0,0.03,0.0,0.0,0.0,0.0,0.0,242157
Dadeldhura,98.18,1.35,0.05,0.0,0.26,0.15,0.0,0.0,0.01,0.0,139602
Doti,98.97,0.67,0.06,0.01,0.14,0.15,0.0,0.0,0.0,0.0,204831
Achham,99.14,0.5,0.14,0.0,0.17,0.06,0.0,0.0,0.0,0.0,228852
Kailali,95.91,1.31,0.64,0.02,2.06,0.05,0.0,0.0,0.0,0.01,904666
Kanchanpur,95.54,0.8,0.1,0.01,3.4,0.09,0.04,0.0,0.03,0.0,513757
